gene_symbol,control_1,control_2,control_3
RNF167,29.59,30.28,41.26
LRP10,123.15,160.13,120.61
ZNF451,63.31,43.73,48.85
SENP6,78.59,116.83,59.49
RAI14,33.92,54.63,60.52
KIF1BP,317.04,218.47,352.37
TES,31.95,17.69,24.06
PHGDH,41.39,37.43,22.26
MYCBP,200.17,272.7,232.93
CHIC2,232.25,141.42,182.34
TIMM9,70.56,50.8,49.39
AKAP8L,129.65,109.56,162.87
ATP2C1,88.92,80.71,73.77
TRAPPC3,83.69,124.56,90.15
DMAC2L,43.29,50.1,50.86
TNFRSF21,98.14,91.35,77.63
SESN1,28.94,45.09,59.64
HTATSF1,19.96,16.17,18.43
TMEM97,54.55,66.07,61.96
BZW2,29.36,29.82,22.43
CHMP4A,94.65,96.4,83.14
GTPBP8,148.79,121.87,185.57
DNAJC15,78.15,136.13,123.58
PACSIN3,86.82,46.24,69.35
RBM15B,49.1,37.89,49.91
HOOK2,162.15,106.13,98.77
SNX11,206.22,149.87,406.95
TIMM22,8.65,8.84,8.54
NENF,694.46,910.2,610.32
UBQLN2,54.15,43.74,47.61
ERO1A,15.0,21.35,26.86
DNTTIP2,40.24,35.66,33.94
PIK3R4,66.34,47.85,79.93
HDGFL3,42.85,56.75,52.49
COPS7A,4.31,4.43,3.56
NSDHL,26.11,17.96,19.82
HEBP1,275.39,249.5,244.94
MTERF3,65.45,90.22,58.87
AMDHD2,94.25,70.99,86.05
ISOC1,38.3,33.46,25.02
MRPS16,50.9,31.64,49.88
FIS1,456.27,548.36,392.15
GOLT1B,40.91,50.42,30.6
GLOD4,302.46,396.02,240.78
GMNN,311.17,225.87,201.0
LAP3,137.88,107.35,96.9
NOSIP,121.66,101.33,91.35
DERA,14.62,26.93,44.15
SCCPDH,91.37,108.19,109.27
MRPS2,98.24,128.36,108.13
VPS28,314.29,213.7,201.46
HSD17B11,59.2,85.72,64.33
NUSAP1,166.72,106.86,170.05
SCAND1,73.96,79.54,102.17
CD320,80.57,48.1,62.48
NGRN,75.36,55.04,60.12
SNX7,22.14,29.75,22.64
ATP6V1D,75.58,61.12,28.04
ZNF589,38.12,33.55,28.85
PRKAG2,44.77,60.01,43.55
UBE2J1,121.34,129.46,159.18
EVL,105.29,81.33,119.08
HACD3,36.01,61.05,50.7
UFM1,432.92,370.16,352.34
LSR,116.08,130.04,132.25
DHRS7,319.04,521.91,214.88
CAB39,488.07,544.1,500.44
ARID4B,64.43,63.16,65.36
NUDT9,54.56,47.91,49.02
CYCS,111.17,57.96,71.91
TERF2IP,103.44,104.21,95.51
GFOD1,667.67,734.66,802.78
KCTD5,53.66,83.45,88.03
TMCO1,415.68,483.69,460.88
DHX29,66.06,57.49,72.12
EXOSC4,350.29,384.98,398.22
DDIT4,268.13,232.64,283.57
PAF1,196.54,151.88,122.68
P4HTM,31.22,16.64,31.82
SLC35F2,42.72,56.97,50.31
ZNF586,411.13,581.66,467.56
FBXL12,115.97,169.67,144.6
TEX10,59.54,50.16,58.15
YTHDF1,16.87,22.13,31.07
TXNL4B,229.13,226.29,164.35
HERC6,41.8,46.4,37.16
PIH1D1,122.58,117.43,251.32
PPP2R3C,27.77,44.12,41.45
FKBP14,197.69,108.05,92.1
CDCA4,444.41,420.17,432.02
PLEKHJ1,51.69,37.85,57.82
HEATR1,213.81,182.2,191.65
ANO10,187.22,92.73,118.42
UBR7,37.49,36.27,37.03
FAIM,266.62,235.74,320.9
ADI1,438.85,420.39,340.41
ABCF3,210.81,240.92,403.66
ENOSF1,146.8,104.37,99.39
CARMIL1,274.97,148.56,104.49
ANKRD10,161.31,227.74,188.87
STAP2,342.46,452.79,337.57
IARS2,49.97,56.98,42.3
NUP133,352.65,432.34,335.03
CNDP2,31.89,32.76,33.19
MINDY1,108.11,130.9,145.32
KDM3A,116.71,93.55,110.15
PECR,78.44,126.12,97.13
EAPP,719.53,577.94,546.05
CISD1,87.25,70.54,84.36
ZNF395,39.52,41.38,44.76
KLHL9,14.6,16.26,17.17
NPDC1,21.31,38.85,42.17
TM9SF3,138.29,179.68,121.52
PAK6,37.09,42.31,67.05
DUSP22,24.47,26.97,32.9
COQ8A,1313.42,2605.47,1491.22
CIAPIN1,54.26,36.73,28.89
PLSCR3,55.47,36.19,54.67
SCYL3,94.82,62.43,102.72
LYRM1,210.24,71.77,142.91
ZMIZ1,34.18,48.04,33.34
MCOLN1,65.29,77.26,51.96
THAP11,89.47,112.76,76.91
ABHD6,7.25,6.54,5.08
TRIB3,641.65,1318.91,633.47
POLD4,23.99,22.13,28.7
SQOR,180.99,184.96,177.58
ENOPH1,27.33,40.31,40.44
PRUNE1,127.69,96.18,115.4
SNX6,50.98,44.21,100.77
FASTKD5,32.75,22.35,36.85
ELAC2,46.65,21.8,20.55
ABHD4,168.32,186.45,284.75
MCUR1,21.21,22.31,35.26
RBKS,58.11,63.56,82.28
ATG3,67.01,39.02,42.0
CIAO3,48.11,73.22,96.82
ZDHHC6,580.79,470.06,742.28
ACBD3,735.17,717.38,676.0
CERK,86.58,122.28,118.6
NT5DC2,52.5,110.0,93.74
ACD,16.58,11.49,13.38
INTS3,180.05,187.37,157.06
TRAK2,28.1,42.49,49.97
METRN,287.79,309.25,181.94
ELOVL6,607.26,394.06,387.97
TMEM109,261.57,416.66,237.94
CCDC86,143.02,214.68,240.18
TRAPPC6A,72.2,75.19,96.45
CHAC1,68.05,57.02,93.06
MBOAT7,20.76,26.2,17.99
PRR15L,109.88,150.37,87.2
CRELD2,115.61,73.24,90.75
FSD1,30.66,33.16,27.64
TCTN1,8.38,11.34,7.81
CHMP6,194.75,119.27,113.99
NPEPL1,66.71,67.37,85.56
FAM57A,130.85,193.87,104.36
NUP85,50.96,45.03,44.42
TCEAL4,13.48,15.06,10.9
DHDDS,80.92,77.68,114.58
DENND2D,142.98,145.99,122.53
FBXO11,28.49,23.14,24.18
CCDC92,35.01,20.41,38.84
COASY,49.71,37.17,50.79
WDR61,74.98,55.73,57.19
TSEN2,189.77,196.76,196.27
PRR7,198.38,232.27,230.51
ITFG1,183.48,102.41,188.94
GDPD5,444.25,559.63,535.81
GRWD1,473.39,462.43,313.07
ARID5B,158.66,165.53,143.99
TUBB6,300.99,318.19,352.73
PSRC1,13.03,20.31,16.02
ADO,236.27,203.14,320.2
HIST1H2BK,183.43,132.13,198.61
MICALL1,128.74,100.16,154.4
UBE3B,89.32,119.66,129.93
JPT2,89.09,137.88,104.28
SLC25A46,166.21,134.71,233.18
COG7,214.45,219.68,268.09
MAPK1IP1L,31.72,46.06,39.45
TBC1D31,826.2,720.71,597.01
H2AFV,48.96,63.66,56.87
RPL39L,101.72,104.38,98.11
CANT1,4.95,6.74,5.28
WIPF2,933.77,845.12,494.98
TICAM1,123.23,143.32,214.4
TXLNA,15.73,14.11,11.08
SPRED2,259.79,172.95,186.52
EML3,32.52,34.6,27.32
STIMATE,163.37,137.65,230.69
DIPK1A,131.46,135.45,135.18
