gene_symbol,treated_1,treated_2,treated_3
MPC2,81.34,87.29,99.65
CLIC4,20.93,23.34,18.09
C2CD2,831.51,663.05,914.6
TIPARP,97.98,78.94,69.36
TSKU,27.19,18.39,30.62
RNF167,41.67,38.79,29.48
LRP10,55.89,64.05,43.42
ZNF451,40.83,32.19,35.64
SENP6,46.65,35.86,48.28
RAI14,72.85,81.07,75.09
KIF1BP,236.97,423.56,286.31
TES,49.5,63.78,53.32
PHGDH,9.68,10.16,5.49
MYCBP,45.71,68.85,57.52
CHIC2,86.09,56.78,94.23
TIMM9,10.89,10.75,15.9
AKAP8L,140.19,352.39,266.47
ATP2C1,135.74,125.84,189.1
TRAPPC3,33.18,49.26,31.91
DMAC2L,10.92,12.19,8.39
TNFRSF21,147.61,226.55,217.81
SESN1,388.32,418.5,445.5
HTATSF1,62.7,45.88,41.92
TMEM97,100.25,57.01,88.1
BZW2,48.16,39.18,29.84
CHMP4A,36.92,36.46,44.04
GTPBP8,67.91,57.87,60.95
DNAJC15,31.4,31.06,34.65
PACSIN3,157.44,119.15,172.4
RBM15B,422.69,250.16,244.29
HOOK2,69.92,79.37,51.29
SNX11,69.51,112.66,97.38
TIMM22,13.64,22.01,21.34
NENF,620.95,527.11,738.46
UBQLN2,164.78,96.89,100.53
ERO1A,12.55,11.9,11.71
DNTTIP2,22.31,19.73,25.64
PIK3R4,33.62,15.82,32.71
HDGFL3,10.84,11.02,18.75
COPS7A,3.2,5.29,7.13
NSDHL,10.53,11.57,8.0
HEBP1,52.07,56.99,67.9
MTERF3,233.65,241.9,242.31
AMDHD2,29.24,33.72,35.32
ISOC1,173.92,104.42,180.16
MRPS16,14.67,14.88,14.47
FIS1,146.23,153.29,133.71
GOLT1B,20.32,36.56,16.77
GLOD4,141.17,136.28,294.53
GMNN,1404.64,913.68,760.02
LAP3,143.97,131.93,94.01
NOSIP,348.18,172.27,239.4
DERA,2.38,3.27,3.36
SCCPDH,18.7,26.41,39.81
MRPS2,83.09,84.62,109.47
VPS28,46.9,65.07,62.92
HSD17B11,25.88,20.78,39.96
NUSAP1,200.12,146.63,261.13
SCAND1,334.24,243.56,498.16
CD320,21.85,25.58,48.45
NGRN,98.88,72.68,58.91
SNX7,52.63,72.48,43.13
ATP6V1D,12.36,14.73,17.6
ZNF589,226.74,175.77,165.55
PRKAG2,74.05,84.75,70.86
UBE2J1,273.87,408.99,258.33
EVL,62.7,54.9,66.12
HACD3,76.64,85.37,70.75
UFM1,341.85,491.55,372.5
LSR,342.02,202.71,221.24
DHRS7,139.21,167.72,199.56
CAB39,178.04,370.7,364.18
ARID4B,35.89,33.25,57.28
NUDT9,51.96,62.0,62.13
CYCS,11.92,10.3,13.08
TERF2IP,159.96,131.09,143.27
GFOD1,1539.91,1957.78,1864.49
KCTD5,93.14,111.31,109.45
TMCO1,173.59,246.33,138.78
DHX29,24.35,25.24,37.4
EXOSC4,4608.06,5890.31,4840.69
DDIT4,118.45,89.28,111.58
PAF1,605.15,683.64,750.02
P4HTM,54.18,29.67,56.54
SLC35F2,10.56,10.0,11.77
ZNF586,507.15,484.59,518.89
FBXL12,281.79,301.86,291.03
TEX10,13.22,9.79,14.59
YTHDF1,23.96,33.85,20.03
TXNL4B,1749.21,1936.29,1430.83
HERC6,22.23,30.24,21.15
PIH1D1,407.68,240.07,371.68
PPP2R3C,7.06,13.13,7.07
FKBP14,61.09,51.59,83.42
CDCA4,66.52,113.45,143.51
PLEKHJ1,95.03,94.73,78.39
HEATR1,46.05,28.65,40.03
ANO10,138.91,203.48,201.78
UBR7,37.0,72.66,64.35
FAIM,633.89,621.09,556.4
ADI1,861.4,455.47,469.74
ABCF3,695.6,495.7,479.95
ENOSF1,77.99,38.05,50.42
CARMIL1,97.58,71.02,50.38
ANKRD10,166.2,214.19,173.44
STAP2,583.85,557.91,478.02
IARS2,135.53,157.15,162.14
NUP133,519.43,570.66,415.05
CNDP2,17.32,20.51,16.96
MINDY1,185.06,169.62,158.66
KDM3A,57.03,65.63,82.75
PECR,605.27,478.03,510.36
EAPP,344.06,503.2,360.88
CISD1,59.64,37.81,59.98
ZNF395,64.93,56.26,74.26
KLHL9,25.93,24.54,20.32
NPDC1,58.95,53.0,41.99
TM9SF3,56.26,40.46,66.84
PAK6,46.27,71.28,49.11
DUSP22,19.25,14.85,14.3
COQ8A,5094.64,2569.76,2311.74
CIAPIN1,25.94,38.58,46.71
PLSCR3,70.42,160.41,126.31
SCYL3,105.31,122.74,92.59
LYRM1,65.9,37.19,72.33
ZMIZ1,21.2,33.98,23.86
MCOLN1,229.65,162.99,236.27
THAP11,51.76,48.99,40.44
ABHD6,15.79,8.18,15.58
TRIB3,1383.23,1277.41,1068.94
POLD4,32.51,38.47,26.98
SQOR,137.66,98.2,93.61
ENOPH1,6.86,3.29,9.11
PRUNE1,93.46,78.52,86.1
SNX6,18.5,21.74,30.36
FASTKD5,40.47,36.14,31.63
ELAC2,95.54,59.41,53.53
ABHD4,266.26,132.47,109.67
MCUR1,8.48,7.79,7.31
RBKS,36.83,44.07,40.85
ATG3,23.12,22.41,33.55
CIAO3,126.86,164.94,112.72
ZDHHC6,196.31,235.34,178.11
ACBD3,270.44,310.68,248.01
CERK,392.39,350.56,377.26
NT5DC2,147.45,202.92,257.7
ACD,41.17,42.61,30.33
INTS3,407.46,212.89,393.14
TRAK2,25.84,36.2,32.4
METRN,138.13,311.44,179.78
ELOVL6,67.2,88.85,91.52
TMEM109,142.58,160.72,103.93
CCDC86,680.26,335.22,430.21
TRAPPC6A,380.52,300.88,237.92
CHAC1,245.48,264.33,242.94
MBOAT7,48.48,32.61,23.55
PRR15L,217.51,350.09,358.91
CRELD2,265.81,329.94,246.85
FSD1,95.52,163.4,176.22
TCTN1,12.38,13.02,13.94
CHMP6,430.11,315.97,403.16
NPEPL1,169.46,201.89,139.24
FAM57A,46.29,64.59,53.58
NUP85,119.65,72.95,114.04
TCEAL4,7.28,5.85,8.89
DHDDS,379.04,461.18,428.53
DENND2D,513.4,458.84,445.01
FBXO11,4.6,6.66,7.63
CCDC92,35.76,36.72,23.49
COASY,17.41,32.43,27.97
WDR61,30.45,36.46,35.65
TSEN2,301.39,160.09,115.28
PRR7,521.28,338.94,680.33
ITFG1,223.27,185.01,238.7
GDPD5,1085.24,1213.58,857.7
GRWD1,314.46,258.9,261.83
ARID5B,359.94,572.09,527.86
TUBB6,232.0,250.73,360.15
PSRC1,35.12,38.79,33.69
ADO,132.47,134.71,166.11
HIST1H2BK,220.99,197.19,260.85
MICALL1,147.55,202.39,167.9
UBE3B,182.78,149.43,188.82
JPT2,33.16,43.83,35.81
SLC25A46,84.17,96.07,99.49
COG7,135.44,95.61,75.07
MAPK1IP1L,12.26,25.05,9.99
TBC1D31,2450.3,2668.37,3050.83
H2AFV,107.11,112.03,78.4
RPL39L,133.27,112.14,107.86
CANT1,18.74,15.8,12.66
WIPF2,450.85,620.55,919.49
TICAM1,323.79,456.69,236.99
TXLNA,7.33,11.48,8.3
SPRED2,281.22,342.53,514.2
EML3,241.91,308.62,259.33
STIMATE,539.24,1009.04,902.04
DIPK1A,179.67,179.76,328.22
